,0
D1555982,0
D301595,1
D1359209,2
D2147834,3
D1568809,4
D3233725,5
D1150618,6
D1885729,7
D1311240,8
D3048094,9
D2342771,10
D1840066,11
D3085586,12
D62203,13
D2883971,14
D1911483,15
D1281784,16
D2347744,17
D560769,18
D1050302,19
D207561,20
D15500,21
D488904,22
D330566,23
D1270076,24
D205553,25
D2976645,26
D2520478,27
D2641659,28
D3058536,29
D2175291,30
D2702544,31
D3257085,32
D495191,33
D2380450,34
D2435215,35
D1247413,36
D2442854,37
D2173367,38
D2111530,39
D2378859,40
D2435425,41
D885257,42
D2900586,43
D2981241,44
D7792,45
D3261752,46
D1163231,47
D1683937,48
D1256481,49
D1798166,50
D150798,51
D2417150,52
D685657,53
D2364480,54
D664819,55
D2896051,56
D1366219,57
D768958,58
D3381680,59
D3150990,60
D3505609,61
D1462004,62
D2311965,63
D898719,64
D2190326,65
D2456256,66
D2394273,67
D1464727,68
D2072127,69
D3523082,70
D750333,71
D1377659,72
D754572,73
D2177768,74
D3205738,75
D250947,76
D3480780,77
D2580791,78
D687756,79
D2814506,80
D2801953,81
D279126,82
D3262643,83
D41803,84
D1977026,85
D3073469,86
D2951578,87
D1617860,88
D1369525,89
D1046684,90
D2894637,91
D2997296,92
D3210803,93
D2038868,94
D2979670,95
D1224088,96
D3325251,97
D1227388,98
D2349982,99
D2499684,100
D1706570,101
D2825791,102
D1300272,103
D801542,104
D1732698,105
D3455289,106
D781647,107
D2473939,108
D1953203,109
D1359733,110
D3367552,111
D656393,112
D956725,113
D2931348,114
D913099,115
D2290875,116
D494710,117
D1270543,118
D419383,119
D185319,120
D2438442,121
D2953236,122
D2698817,123
D2714156,124
D699018,125
D802805,126
D1983254,127
D2368595,128
D1407024,129
D1718897,130
D103426,131
D1395741,132
D1589111,133
D3101516,134
D2146220,135
D2337005,136
D2196350,137
D3375972,138
D3239690,139
D3329683,140
D1839325,141
D2283613,142
D97416,143
D2797126,144
D819746,145
D719549,146
D2185478,147
D1156912,148
D2753742,149
D3542840,150
D83600,151
D2727364,152
D2839560,153
D328017,154
D1224061,155
D2941296,156
D1965679,157
D1879027,158
D806663,159
D470749,160
D2408838,161
D1636347,162
D1718750,163
D260946,164
D2668305,165
D1856600,166
D2374465,167
D1660718,168
D122751,169
D2046552,170
D2175218,171
D2727318,172
D2120243,173
D1092233,174
D293011,175
D2857237,176
D2176126,177
D649050,178
D1142478,179
D2803448,180
D2856228,181
D2916861,182
D3380146,183
D1761147,184
D1777318,185
D67420,186
D2076611,187
D954913,188
D2848451,189
D698627,190
D2476582,191
D3226879,192
D1351476,193
D2277746,194
D2226663,195
D2283011,196
D2663454,197
D2820319,198
D2472212,199
D3472401,200
D65050,201
D3531715,202
D491012,203
D1786550,204
D278830,205
D2880954,206
D3387314,207
D3146968,208
D3210177,209
D1989390,210
D61065,211
D1022823,212
D174379,213
D105528,214
D3408582,215
D824343,216
D2828764,217
D1628859,218
D1877586,219
D2470258,220
D2668318,221
D2273668,222
D2512566,223
D297612,224
D1889500,225
D1907198,226
D1479993,227
D3210788,228
D807902,229
D1745929,230
D1847886,231
D3178380,232
D2287794,233
D442733,234
D1190641,235
D1259248,236
D2940977,237
D3349953,238
D2720269,239
D3314065,240
D1163851,241
D2673611,242
D2324270,243
D2647090,244
D774804,245
D643296,246
D2642689,247
D252199,248
D1122182,249
D2501770,250
D592335,251
D1871017,252
D1869189,253
D2312374,254
D2958836,255
D2912941,256
D2194705,257
D339947,258
D2856033,259
D342571,260
D1551740,261
D1052136,262
D5463,263
