number of nodes,number of queries
2343474,90702
165852,57644
118,1584
104770,67667
1682,22
1234,722
22657,18604
7485,9205
428972,22334
1448,3
4361,339
52,155
168878,11155
1894,1281
82296,2090
40,151
1382,143
1498,730
3010,742
6922,2344
126,110
1022,889
51,237
4481,23
10642,3828
1752,118
14880,1346
3057,225
3840,48
38,73
32,99
566,1519
1791,312
373,1895
177,210
205,117
77462,991
21480,117
149,103
108,125
9867,665
3938,147
15295,1520
13261,4684
7676,555
36,153
495,58
3537,2118
8126,854
856,1221
10153,307
2132,53
299,224
441,4323
603,198
1007,158
4034,126
89,64
489,147
23,194
4625,1092
82869,438
4127,61
123,341
43,61
387,89
5387,151
30,187
513,37
129,10
75430,444
1950,235
12440,1075
305,112
280,43
686,469
719,844
6667,61
173,66
145,128
252,155
2467,941
6106,180
1431,295
3368,365
182,30
3115,532
153,83
20,82
639,59
711,68
74,93
14140,657
57,141
366,11
1625,36
1569,71
54,149
62670,183
213,28
1279,134
91,97
198,212
3760,146
27,49
319,94
49,74
318,13
79796,664
1981,57
1583,7
64,53
239,67
380,71
104,37
2770,68
1363,87
399,21
28152,1374
4003,68
3361,588
220,17
101,16
4759,57
115,54
1392,279
2952,642
24,146
917,41
237,20
141,289
73,65
18,86
22,144
300,36
313,18
1163,256
628,2
860,15
29,118
7429,389
594,12
408,48
82,36
37,66
355,33
345,54
131,38
1130,217
4000,342
5581,11
817,60
55405,874
864,483
370,37
944,19
2609,169
55,74
1108,173
1253,299
166,235
197,113
133,199
2315,54
364,53
255,177
916,191
2013,46
386,26
2048,4
1944,22
128,9
975,47
1563,4
15240,694
1833,29
417,7
395,16
1259,275
68,149
134,151
17,68
161,45
549,285
360,6
24698,276
9116,48
18401,46
72,153
836,7
5880,38
140,54
1553,178
1823,320
241,29
47,63
229,63
2657,271
1395,19
132,33
646,47
334,19
218,9
1804,19
79,61
19522,26
375,26
1914,186
34,138
70,63
714,16
84,173
10715,189
124,68
113,113
1854,100
6692,1
9260,429
2824,87
659,34
457,3
487,13
424,60
446,7
1341,5
146,43
6882,63
3797,191
1410,23
76,52
270,104
426,107
2397,69
8322,127
60,58
315,174
14,71
893,13
46,85
192,14
105,63
15094,43
4180,87
39,85
106,42
604,2
1435,43
5625,64
94,70
15,50
1496,34
3700,237
2029,77
53,93
235,7
275,69
640,373
1315,32
17926,595
611,225
458,14
1660,31
569,8
47619,317
376,18
509,41
26,115
66,81
250,23
14477,36
256,17
19,120
167,56
562,35
481,12
796,88
127,38
203,170
872,10
773,346
174,24
155,135
116,47
5617,56
194,72
751,21
77,109
181,22
11742,99
207,8
67,105
35,105
295,16
107,28
138,22
16818,67
978,23
2922,104
1186,441
321,76
120,97
56,115
718,105
343,56
3552,12
231,33
268,22
1557,44
287,17
6585,6
728,64
638,11
156,17
336,41
71,65
705,35
6705,65
65,87
31,78
2527,106
117,36
467,23
259,24
188,47
251,47
1540,9
516,23
1220,18
1720,389
5109,81
10303,41
200,44
3219,19
522,70
564,22
862,85
1280,58
21,126
500,4
2555,42
28,174
6304,277
190,46
1697,12
163,41
2599,11
2211,30
1233,2
26127,59
11769,64
